"power" "noise" "n_loess" "method"
0.458 5 25 "MIC"
0.35 6 25 "MIC"
0.22 7 25 "MIC"
0.196 8 25 "MIC"
0.13 9 25 "MIC"
0.104 10 25 "MIC"
1 1 26 "MIC"
0.932 2 26 "MIC"
0.444 3 26 "MIC"
0.216 4 26 "MIC"
0.114 5 26 "MIC"
0.108 6 26 "MIC"
0.09 7 26 "MIC"
0.088 8 26 "MIC"
0.05 9 26 "MIC"
0.06 10 26 "MIC"
1 1 27 "MIC"
1 2 27 "MIC"
1 3 27 "MIC"
0.97 4 27 "MIC"
0.778 5 27 "MIC"
0.556 6 27 "MIC"
0.332 7 27 "MIC"
0.302 8 27 "MIC"
0.264 9 27 "MIC"
0.166 10 27 "MIC"
1 1 28 "MIC"
1 2 28 "MIC"
1 3 28 "MIC"
0.996 4 28 "MIC"
0.898 5 28 "MIC"
0.668 6 28 "MIC"
0.42 7 28 "MIC"
0.332 8 28 "MIC"
0.224 9 28 "MIC"
0.198 10 28 "MIC"
1 1 29 "MIC"
1 2 29 "MIC"
0.994 3 29 "MIC"
0.83 4 29 "MIC"
0.542 5 29 "MIC"
0.28 6 29 "MIC"
0.238 7 29 "MIC"
0.166 8 29 "MIC"
0.128 9 29 "MIC"
0.094 10 29 "MIC"
1 1 30 "MIC"
0.996 2 30 "MIC"
0.532 3 30 "MIC"
0.212 4 30 "MIC"
0.162 5 30 "MIC"
0.102 6 30 "MIC"
0.102 7 30 "MIC"
0.062 8 30 "MIC"
0.058 9 30 "MIC"
0.046 10 30 "MIC"
1 1 31 "MIC"
0.998 2 31 "MIC"
0.656 3 31 "MIC"
0.196 4 31 "MIC"
0.138 5 31 "MIC"
0.088 6 31 "MIC"
0.13 7 31 "MIC"
0.084 8 31 "MIC"
0.058 9 31 "MIC"
0.066 10 31 "MIC"
1 1 32 "MIC"
1 2 32 "MIC"
0.98 3 32 "MIC"
0.66 4 32 "MIC"
0.344 5 32 "MIC"
0.252 6 32 "MIC"
0.176 7 32 "MIC"
0.102 8 32 "MIC"
0.118 9 32 "MIC"
0.08 10 32 "MIC"
1 1 33 "MIC"
1 2 33 "MIC"
0.988 3 33 "MIC"
0.758 4 33 "MIC"
0.432 5 33 "MIC"
0.276 6 33 "MIC"
0.232 7 33 "MIC"
0.12 8 33 "MIC"
0.116 9 33 "MIC"
0.13 10 33 "MIC"
1 1 34 "MIC"
1 2 34 "MIC"
1 3 34 "MIC"
1 4 34 "MIC"
0.99 5 34 "MIC"
0.966 6 34 "MIC"
0.86 7 34 "MIC"
0.742 8 34 "MIC"
0.508 9 34 "MIC"
0.436 10 34 "MIC"
1 1 35 "MIC"
0.996 2 35 "MIC"
0.636 3 35 "MIC"
0.24 4 35 "MIC"
0.132 5 35 "MIC"
0.12 6 35 "MIC"
0.09 7 35 "MIC"
0.064 8 35 "MIC"
0.08 9 35 "MIC"
0.088 10 35 "MIC"
1 1 36 "MIC"
0.492 2 36 "MIC"
0.09 3 36 "MIC"
0.066 4 36 "MIC"
0.07 5 36 "MIC"
0.058 6 36 "MIC"
0.054 7 36 "MIC"
0.046 8 36 "MIC"
0.06 9 36 "MIC"
0.064 10 36 "MIC"
1 1 37 "MIC"
1 2 37 "MIC"
1 3 37 "MIC"
1 4 37 "MIC"
1 5 37 "MIC"
0.996 6 37 "MIC"
0.966 7 37 "MIC"
0.836 8 37 "MIC"
0.766 9 37 "MIC"
0.622 10 37 "MIC"
1 1 38 "MIC"
1 2 38 "MIC"
0.676 3 38 "MIC"
0.338 4 38 "MIC"
0.176 5 38 "MIC"
0.15 6 38 "MIC"
0.13 7 38 "MIC"
0.098 8 38 "MIC"
0.058 9 38 "MIC"
0.076 10 38 "MIC"
1 1 39 "MIC"
1 2 39 "MIC"
0.874 3 39 "MIC"
0.464 4 39 "MIC"
0.256 5 39 "MIC"
0.23 6 39 "MIC"
0.13 7 39 "MIC"
0.104 8 39 "MIC"
0.07 9 39 "MIC"
0.09 10 39 "MIC"
1 1 40 "MIC"
0.888 2 40 "MIC"
0.36 3 40 "MIC"
0.146 4 40 "MIC"
0.07 5 40 "MIC"
0.082 6 40 "MIC"
0.088 7 40 "MIC"
0.072 8 40 "MIC"
0.048 9 40 "MIC"
0.07 10 40 "MIC"
1 1 41 "MIC"
1 2 41 "MIC"
1 3 41 "MIC"
0.936 4 41 "MIC"
0.698 5 41 "MIC"
0.474 6 41 "MIC"
0.396 7 41 "MIC"
0.266 8 41 "MIC"
0.208 9 41 "MIC"
0.156 10 41 "MIC"
1 1 42 "MIC"
1 2 42 "MIC"
1 3 42 "MIC"
0.95 4 42 "MIC"
0.734 5 42 "MIC"
0.376 6 42 "MIC"
0.356 7 42 "MIC"
0.282 8 42 "MIC"
0.154 9 42 "MIC"
0.152 10 42 "MIC"
1 1 43 "MIC"
1 2 43 "MIC"
0.83 3 43 "MIC"
0.402 4 43 "MIC"
0.218 5 43 "MIC"
0.156 6 43 "MIC"
0.1 7 43 "MIC"
0.114 8 43 "MIC"
0.096 9 43 "MIC"
0.078 10 43 "MIC"
1 1 44 "MIC"
1 2 44 "MIC"
0.872 3 44 "MIC"
0.544 4 44 "MIC"
0.23 5 44 "MIC"
0.164 6 44 "MIC"
0.124 7 44 "MIC"
0.116 8 44 "MIC"
0.078 9 44 "MIC"
0.086 10 44 "MIC"
1 1 45 "MIC"
1 2 45 "MIC"
0.992 3 45 "MIC"
0.826 4 45 "MIC"
0.542 5 45 "MIC"
0.396 6 45 "MIC"
0.276 7 45 "MIC"
0.204 8 45 "MIC"
0.128 9 45 "MIC"
0.096 10 45 "MIC"
1 1 46 "MIC"
1 2 46 "MIC"
1 3 46 "MIC"
1 4 46 "MIC"
0.962 5 46 "MIC"
0.768 6 46 "MIC"
0.608 7 46 "MIC"
0.384 8 46 "MIC"
0.326 9 46 "MIC"
0.252 10 46 "MIC"
1 1 47 "MIC"
1 2 47 "MIC"
1 3 47 "MIC"
1 4 47 "MIC"
0.974 5 47 "MIC"
0.846 6 47 "MIC"
0.608 7 47 "MIC"
0.542 8 47 "MIC"
0.294 9 47 "MIC"
0.276 10 47 "MIC"
1 1 48 "MIC"
1 2 48 "MIC"
0.584 3 48 "MIC"
0.244 4 48 "MIC"
0.128 5 48 "MIC"
0.124 6 48 "MIC"
0.088 7 48 "MIC"
0.084 8 48 "MIC"
0.072 9 48 "MIC"
0.072 10 48 "MIC"
1 1 49 "MIC"
1 2 49 "MIC"
1 3 49 "MIC"
1 4 49 "MIC"
0.988 5 49 "MIC"
0.914 6 49 "MIC"
0.756 7 49 "MIC"
0.566 8 49 "MIC"
0.424 9 49 "MIC"
0.3 10 49 "MIC"
1 1 50 "MIC"
0.99 2 50 "MIC"
0.498 3 50 "MIC"
0.234 4 50 "MIC"
0.124 5 50 "MIC"
0.094 6 50 "MIC"
0.072 7 50 "MIC"
0.068 8 50 "MIC"
0.048 9 50 "MIC"
0.064 10 50 "MIC"
1 1 51 "MIC"
1 2 51 "MIC"
1 3 51 "MIC"
1 4 51 "MIC"
1 5 51 "MIC"
0.978 6 51 "MIC"
0.942 7 51 "MIC"
0.848 8 51 "MIC"
0.642 9 51 "MIC"
0.544 10 51 "MIC"
1 1 52 "MIC"
1 2 52 "MIC"
0.994 3 52 "MIC"
0.78 4 52 "MIC"
0.504 5 52 "MIC"
0.284 6 52 "MIC"
0.27 7 52 "MIC"
0.14 8 52 "MIC"
0.162 9 52 "MIC"
0.068 10 52 "MIC"
1 1 53 "MIC"
1 2 53 "MIC"
0.964 3 53 "MIC"
0.644 4 53 "MIC"
0.344 5 53 "MIC"
0.278 6 53 "MIC"
0.132 7 53 "MIC"
0.136 8 53 "MIC"
0.134 9 53 "MIC"
0.074 10 53 "MIC"
1 1 54 "MIC"
1 2 54 "MIC"
0.986 3 54 "MIC"
0.674 4 54 "MIC"
0.356 5 54 "MIC"
0.27 6 54 "MIC"
0.18 7 54 "MIC"
0.164 8 54 "MIC"
0.11 9 54 "MIC"
0.11 10 54 "MIC"
1 1 55 "MIC"
0.95 2 55 "MIC"
0.34 3 55 "MIC"
0.154 4 55 "MIC"
0.1 5 55 "MIC"
0.09 6 55 "MIC"
0.056 7 55 "MIC"
0.074 8 55 "MIC"
0.044 9 55 "MIC"
0.038 10 55 "MIC"
1 1 56 "MIC"
1 2 56 "MIC"
1 3 56 "MIC"
0.99 4 56 "MIC"
0.836 5 56 "MIC"
0.538 6 56 "MIC"
0.502 7 56 "MIC"
0.268 8 56 "MIC"
0.308 9 56 "MIC"
0.2 10 56 "MIC"
1 1 57 "MIC"
1 2 57 "MIC"
0.98 3 57 "MIC"
0.768 4 57 "MIC"
0.402 5 57 "MIC"
0.288 6 57 "MIC"
0.192 7 57 "MIC"
0.128 8 57 "MIC"
0.116 9 57 "MIC"
0.068 10 57 "MIC"
1 1 58 "MIC"
1 2 58 "MIC"
0.978 3 58 "MIC"
0.662 4 58 "MIC"
0.392 5 58 "MIC"
0.258 6 58 "MIC"
0.14 7 58 "MIC"
0.136 8 58 "MIC"
0.096 9 58 "MIC"
0.128 10 58 "MIC"
1 1 59 "MIC"
1 2 59 "MIC"
0.998 3 59 "MIC"
0.864 4 59 "MIC"
0.57 5 59 "MIC"
0.38 6 59 "MIC"
0.27 7 59 "MIC"
0.174 8 59 "MIC"
0.198 9 59 "MIC"
0.13 10 59 "MIC"
1 1 60 "MIC"
1 2 60 "MIC"
0.806 3 60 "MIC"
0.446 4 60 "MIC"
0.252 5 60 "MIC"
0.2 6 60 "MIC"
0.094 7 60 "MIC"
0.094 8 60 "MIC"
0.086 9 60 "MIC"
0.062 10 60 "MIC"
1 1 61 "MIC"
1 2 61 "MIC"
1 3 61 "MIC"
1 4 61 "MIC"
0.986 5 61 "MIC"
0.932 6 61 "MIC"
0.716 7 61 "MIC"
0.586 8 61 "MIC"
0.526 9 61 "MIC"
0.354 10 61 "MIC"
1 1 62 "MIC"
0.886 2 62 "MIC"
0.252 3 62 "MIC"
0.148 4 62 "MIC"
0.09 5 62 "MIC"
0.074 6 62 "MIC"
0.054 7 62 "MIC"
0.054 8 62 "MIC"
0.052 9 62 "MIC"
0.074 10 62 "MIC"
1 1 63 "MIC"
1 2 63 "MIC"
1 3 63 "MIC"
0.838 4 63 "MIC"
0.552 5 63 "MIC"
0.384 6 63 "MIC"
0.302 7 63 "MIC"
0.162 8 63 "MIC"
0.132 9 63 "MIC"
0.104 10 63 "MIC"
1 1 64 "MIC"
1 2 64 "MIC"
1 3 64 "MIC"
0.994 4 64 "MIC"
0.78 5 64 "MIC"
0.648 6 64 "MIC"
0.42 7 64 "MIC"
0.35 8 64 "MIC"
0.212 9 64 "MIC"
0.14 10 64 "MIC"
1 1 65 "MIC"
0.996 2 65 "MIC"
0.524 3 65 "MIC"
0.194 4 65 "MIC"
0.142 5 65 "MIC"
0.074 6 65 "MIC"
0.084 7 65 "MIC"
0.066 8 65 "MIC"
0.072 9 65 "MIC"
0.056 10 65 "MIC"
1 1 66 "MIC"
1 2 66 "MIC"
0.9 3 66 "MIC"
0.468 4 66 "MIC"
0.248 5 66 "MIC"
0.17 6 66 "MIC"
0.118 7 66 "MIC"
0.13 8 66 "MIC"
0.088 9 66 "MIC"
0.072 10 66 "MIC"
1 1 67 "MIC"
1 2 67 "MIC"
0.672 3 67 "MIC"
0.31 4 67 "MIC"
0.224 5 67 "MIC"
0.156 6 67 "MIC"
0.074 7 67 "MIC"
0.104 8 67 "MIC"
0.108 9 67 "MIC"
0.08 10 67 "MIC"
1 1 68 "MIC"
1 2 68 "MIC"
1 3 68 "MIC"
1 4 68 "MIC"
0.994 5 68 "MIC"
0.936 6 68 "MIC"
0.8 7 68 "MIC"
0.618 8 68 "MIC"
0.46 9 68 "MIC"
0.436 10 68 "MIC"
1 1 69 "MIC"
1 2 69 "MIC"
0.85 3 69 "MIC"
0.416 4 69 "MIC"
0.26 5 69 "MIC"
0.208 6 69 "MIC"
0.16 7 69 "MIC"
0.098 8 69 "MIC"
0.072 9 69 "MIC"
0.09 10 69 "MIC"
1 1 70 "MIC"
1 2 70 "MIC"
1 3 70 "MIC"
1 4 70 "MIC"
0.882 5 70 "MIC"
0.684 6 70 "MIC"
0.52 7 70 "MIC"
0.386 8 70 "MIC"
0.284 9 70 "MIC"
0.174 10 70 "MIC"
1 1 71 "MIC"
1 2 71 "MIC"
0.998 3 71 "MIC"
0.916 4 71 "MIC"
0.676 5 71 "MIC"
0.398 6 71 "MIC"
0.286 7 71 "MIC"
0.204 8 71 "MIC"
0.21 9 71 "MIC"
0.1 10 71 "MIC"
1 1 72 "MIC"
1 2 72 "MIC"
1 3 72 "MIC"
0.922 4 72 "MIC"
0.702 5 72 "MIC"
0.388 6 72 "MIC"
0.346 7 72 "MIC"
0.186 8 72 "MIC"
0.162 9 72 "MIC"
0.112 10 72 "MIC"
1 1 73 "MIC"
1 2 73 "MIC"
1 3 73 "MIC"
0.998 4 73 "MIC"
0.912 5 73 "MIC"
0.762 6 73 "MIC"
0.532 7 73 "MIC"
0.462 8 73 "MIC"
0.312 9 73 "MIC"
0.198 10 73 "MIC"
1 1 74 "MIC"
0.986 2 74 "MIC"
0.508 3 74 "MIC"
0.27 4 74 "MIC"
0.102 5 74 "MIC"
0.096 6 74 "MIC"
0.1 7 74 "MIC"
0.066 8 74 "MIC"
0.084 9 74 "MIC"
0.048 10 74 "MIC"
1 1 75 "MIC"
1 2 75 "MIC"
1 3 75 "MIC"
0.972 4 75 "MIC"
0.822 5 75 "MIC"
0.584 6 75 "MIC"
0.392 7 75 "MIC"
0.246 8 75 "MIC"
0.206 9 75 "MIC"
0.162 10 75 "MIC"
1 1 76 "MIC"
1 2 76 "MIC"
1 3 76 "MIC"
0.894 4 76 "MIC"
0.726 5 76 "MIC"
0.392 6 76 "MIC"
0.334 7 76 "MIC"
0.164 8 76 "MIC"
0.176 9 76 "MIC"
0.156 10 76 "MIC"
1 1 77 "MIC"
1 2 77 "MIC"
0.558 3 77 "MIC"
0.254 4 77 "MIC"
0.104 5 77 "MIC"
0.104 6 77 "MIC"
0.064 7 77 "MIC"
0.086 8 77 "MIC"
0.058 9 77 "MIC"
0.094 10 77 "MIC"
1 1 78 "MIC"
1 2 78 "MIC"
0.898 3 78 "MIC"
0.52 4 78 "MIC"
0.31 5 78 "MIC"
0.182 6 78 "MIC"
0.144 7 78 "MIC"
0.102 8 78 "MIC"
0.076 9 78 "MIC"
0.132 10 78 "MIC"
1 1 79 "MIC"
1 2 79 "MIC"
1 3 79 "MIC"
0.924 4 79 "MIC"
0.672 5 79 "MIC"
0.436 6 79 "MIC"
0.37 7 79 "MIC"
0.22 8 79 "MIC"
0.176 9 79 "MIC"
0.182 10 79 "MIC"
1 1 80 "MIC"
0.992 2 80 "MIC"
0.38 3 80 "MIC"
0.192 4 80 "MIC"
0.124 5 80 "MIC"
0.076 6 80 "MIC"
0.076 7 80 "MIC"
0.054 8 80 "MIC"
0.07 9 80 "MIC"
0.034 10 80 "MIC"
1 1 81 "MIC"
1 2 81 "MIC"
0.998 3 81 "MIC"
0.876 4 81 "MIC"
0.6 5 81 "MIC"
0.35 6 81 "MIC"
0.222 7 81 "MIC"
0.182 8 81 "MIC"
0.172 9 81 "MIC"
0.152 10 81 "MIC"
1 1 82 "MIC"
0.586 2 82 "MIC"
0.19 3 82 "MIC"
0.064 4 82 "MIC"
0.09 5 82 "MIC"
0.078 6 82 "MIC"
0.078 7 82 "MIC"
0.042 8 82 "MIC"
0.034 9 82 "MIC"
0.066 10 82 "MIC"
1 1 83 "MIC"
0.762 2 83 "MIC"
0.222 3 83 "MIC"
0.11 4 83 "MIC"
0.076 5 83 "MIC"
0.05 6 83 "MIC"
0.098 7 83 "MIC"
0.062 8 83 "MIC"
0.026 9 83 "MIC"
0.05 10 83 "MIC"
1 1 84 "MIC"
1 2 84 "MIC"
0.92 3 84 "MIC"
0.51 4 84 "MIC"
0.324 5 84 "MIC"
0.246 6 84 "MIC"
0.158 7 84 "MIC"
0.106 8 84 "MIC"
0.092 9 84 "MIC"
0.074 10 84 "MIC"
1 1 85 "MIC"
1 2 85 "MIC"
0.502 3 85 "MIC"
0.134 4 85 "MIC"
0.126 5 85 "MIC"
0.11 6 85 "MIC"
0.086 7 85 "MIC"
0.068 8 85 "MIC"
0.07 9 85 "MIC"
0.064 10 85 "MIC"
1 1 86 "MIC"
1 2 86 "MIC"
1 3 86 "MIC"
0.82 4 86 "MIC"
0.444 5 86 "MIC"
0.314 6 86 "MIC"
0.208 7 86 "MIC"
0.15 8 86 "MIC"
0.132 9 86 "MIC"
0.13 10 86 "MIC"
1 1 87 "MIC"
0.812 2 87 "MIC"
0.216 3 87 "MIC"
0.126 4 87 "MIC"
0.086 5 87 "MIC"
0.062 6 87 "MIC"
0.086 7 87 "MIC"
0.046 8 87 "MIC"
0.056 9 87 "MIC"
0.048 10 87 "MIC"
1 1 88 "MIC"
1 2 88 "MIC"
0.964 3 88 "MIC"
0.572 4 88 "MIC"
0.268 5 88 "MIC"
0.228 6 88 "MIC"
0.118 7 88 "MIC"
0.092 8 88 "MIC"
0.128 9 88 "MIC"
0.048 10 88 "MIC"
1 1 89 "MIC"
0.97 2 89 "MIC"
0.354 3 89 "MIC"
0.164 4 89 "MIC"
0.128 5 89 "MIC"
0.084 6 89 "MIC"
0.078 7 89 "MIC"
0.07 8 89 "MIC"
0.058 9 89 "MIC"
0.074 10 89 "MIC"
1 1 90 "MIC"
1 2 90 "MIC"
0.942 3 90 "MIC"
0.592 4 90 "MIC"
0.362 5 90 "MIC"
0.206 6 90 "MIC"
0.104 7 90 "MIC"
0.09 8 90 "MIC"
0.104 9 90 "MIC"
0.074 10 90 "MIC"
1 1 91 "MIC"
1 2 91 "MIC"
0.996 3 91 "MIC"
0.95 4 91 "MIC"
0.608 5 91 "MIC"
0.338 6 91 "MIC"
0.322 7 91 "MIC"
0.31 8 91 "MIC"
0.18 9 91 "MIC"
0.162 10 91 "MIC"
1 1 92 "MIC"
0.992 2 92 "MIC"
0.406 3 92 "MIC"
0.148 4 92 "MIC"
0.116 5 92 "MIC"
0.142 6 92 "MIC"
0.066 7 92 "MIC"
0.042 8 92 "MIC"
0.064 9 92 "MIC"
0.06 10 92 "MIC"
1 1 93 "MIC"
0.996 2 93 "MIC"
0.516 3 93 "MIC"
0.208 4 93 "MIC"
0.13 5 93 "MIC"
0.108 6 93 "MIC"
0.072 7 93 "MIC"
0.054 8 93 "MIC"
0.058 9 93 "MIC"
0.07 10 93 "MIC"
1 1 94 "MIC"
1 2 94 "MIC"
0.644 3 94 "MIC"
0.326 4 94 "MIC"
0.174 5 94 "MIC"
0.15 6 94 "MIC"
0.108 7 94 "MIC"
0.114 8 94 "MIC"
0.084 9 94 "MIC"
0.06 10 94 "MIC"
1 1 95 "MIC"
1 2 95 "MIC"
1 3 95 "MIC"
0.824 4 95 "MIC"
0.484 5 95 "MIC"
0.414 6 95 "MIC"
0.222 7 95 "MIC"
0.162 8 95 "MIC"
0.14 9 95 "MIC"
0.116 10 95 "MIC"
1 1 96 "MIC"
0.988 2 96 "MIC"
0.422 3 96 "MIC"
0.202 4 96 "MIC"
0.09 5 96 "MIC"
0.114 6 96 "MIC"
0.048 7 96 "MIC"
0.078 8 96 "MIC"
0.06 9 96 "MIC"
0.068 10 96 "MIC"
1 1 97 "MIC"
1 2 97 "MIC"
1 3 97 "MIC"
0.882 4 97 "MIC"
0.514 5 97 "MIC"
0.344 6 97 "MIC"
0.208 7 97 "MIC"
0.134 8 97 "MIC"
0.126 9 97 "MIC"
0.114 10 97 "MIC"
1 1 98 "MIC"
0.89 2 98 "MIC"
0.268 3 98 "MIC"
0.156 4 98 "MIC"
0.08 5 98 "MIC"
0.062 6 98 "MIC"
0.098 7 98 "MIC"
0.05 8 98 "MIC"
0.048 9 98 "MIC"
0.048 10 98 "MIC"
1 1 99 "MIC"
1 2 99 "MIC"
0.972 3 99 "MIC"
0.712 4 99 "MIC"
0.404 5 99 "MIC"
0.238 6 99 "MIC"
0.134 7 99 "MIC"
0.128 8 99 "MIC"
0.142 9 99 "MIC"
0.086 10 99 "MIC"
1 1 100 "MIC"
1 2 100 "MIC"
0.972 3 100 "MIC"
0.642 4 100 "MIC"
0.392 5 100 "MIC"
0.28 6 100 "MIC"
0.188 7 100 "MIC"
0.128 8 100 "MIC"
0.126 9 100 "MIC"
0.114 10 100 "MIC"
1 1 1 "rdc"
0.806 2 1 "rdc"
0.214 3 1 "rdc"
0.106 4 1 "rdc"
0.05 5 1 "rdc"
0.044 6 1 "rdc"
0.062 7 1 "rdc"
0.068 8 1 "rdc"
0.052 9 1 "rdc"
0.05 10 1 "rdc"
1 1 2 "rdc"
0.98 2 2 "rdc"
0.328 3 2 "rdc"
0.12 4 2 "rdc"
0.122 5 2 "rdc"
0.072 6 2 "rdc"
0.056 7 2 "rdc"
0.04 8 2 "rdc"
0.066 9 2 "rdc"
0.046 10 2 "rdc"
1 1 3 "rdc"
1 2 3 "rdc"
1 3 3 "rdc"
1 4 3 "rdc"
1 5 3 "rdc"
0.976 6 3 "rdc"
0.9 7 3 "rdc"
0.766 8 3 "rdc"
0.586 9 3 "rdc"
0.528 10 3 "rdc"
1 1 4 "rdc"
1 2 4 "rdc"
1 3 4 "rdc"
0.864 4 4 "rdc"
0.592 5 4 "rdc"
0.324 6 4 "rdc"
0.26 7 4 "rdc"
0.158 8 4 "rdc"
0.182 9 4 "rdc"
0.122 10 4 "rdc"
1 1 5 "rdc"
1 2 5 "rdc"
1 3 5 "rdc"
1 4 5 "rdc"
0.984 5 5 "rdc"
0.876 6 5 "rdc"
0.748 7 5 "rdc"
0.586 8 5 "rdc"
0.366 9 5 "rdc"
0.324 10 5 "rdc"
1 1 6 "rdc"
1 2 6 "rdc"
1 3 6 "rdc"
0.996 4 6 "rdc"
0.882 5 6 "rdc"
0.612 6 6 "rdc"
0.462 7 6 "rdc"
0.31 8 6 "rdc"
0.222 9 6 "rdc"
0.164 10 6 "rdc"
1 1 7 "rdc"
1 2 7 "rdc"
1 3 7 "rdc"
0.992 4 7 "rdc"
0.914 5 7 "rdc"
0.66 6 7 "rdc"
0.468 7 7 "rdc"
0.334 8 7 "rdc"
0.23 9 7 "rdc"
0.216 10 7 "rdc"
1 1 8 "rdc"
1 2 8 "rdc"
1 3 8 "rdc"
0.92 4 8 "rdc"
0.646 5 8 "rdc"
0.458 6 8 "rdc"
0.284 7 8 "rdc"
0.208 8 8 "rdc"
0.178 9 8 "rdc"
0.098 10 8 "rdc"
1 1 9 "rdc"
1 2 9 "rdc"
1 3 9 "rdc"
1 4 9 "rdc"
0.998 5 9 "rdc"
0.962 6 9 "rdc"
0.868 7 9 "rdc"
0.724 8 9 "rdc"
0.566 9 9 "rdc"
0.488 10 9 "rdc"
1 1 10 "rdc"
1 2 10 "rdc"
1 3 10 "rdc"
0.878 4 10 "rdc"
0.528 5 10 "rdc"
0.412 6 10 "rdc"
0.25 7 10 "rdc"
0.192 8 10 "rdc"
0.178 9 10 "rdc"
0.108 10 10 "rdc"
1 1 11 "rdc"
1 2 11 "rdc"
0.416 3 11 "rdc"
0.17 4 11 "rdc"
0.158 5 11 "rdc"
0.07 6 11 "rdc"
0.07 7 11 "rdc"
0.062 8 11 "rdc"
0.048 9 11 "rdc"
0.074 10 11 "rdc"
1 1 12 "rdc"
1 2 12 "rdc"
0.98 3 12 "rdc"
0.578 4 12 "rdc"
0.358 5 12 "rdc"
0.216 6 12 "rdc"
0.154 7 12 "rdc"
0.096 8 12 "rdc"
0.116 9 12 "rdc"
0.054 10 12 "rdc"
1 1 13 "rdc"
1 2 13 "rdc"
1 3 13 "rdc"
1 4 13 "rdc"
0.998 5 13 "rdc"
0.944 6 13 "rdc"
0.84 7 13 "rdc"
0.672 8 13 "rdc"
0.518 9 13 "rdc"
0.42 10 13 "rdc"
1 1 14 "rdc"
1 2 14 "rdc"
0.998 3 14 "rdc"
0.888 4 14 "rdc"
0.564 5 14 "rdc"
0.314 6 14 "rdc"
0.242 7 14 "rdc"
0.2 8 14 "rdc"
0.112 9 14 "rdc"
0.096 10 14 "rdc"
1 1 15 "rdc"
1 2 15 "rdc"
0.932 3 15 "rdc"
0.576 4 15 "rdc"
0.268 5 15 "rdc"
0.21 6 15 "rdc"
0.114 7 15 "rdc"
0.134 8 15 "rdc"
0.056 9 15 "rdc"
0.086 10 15 "rdc"
1 1 16 "rdc"
1 2 16 "rdc"
0.998 3 16 "rdc"
0.896 4 16 "rdc"
0.564 5 16 "rdc"
0.364 6 16 "rdc"
0.234 7 16 "rdc"
0.184 8 16 "rdc"
0.118 9 16 "rdc"
0.114 10 16 "rdc"
1 1 17 "rdc"
1 2 17 "rdc"
1 3 17 "rdc"
1 4 17 "rdc"
1 5 17 "rdc"
0.978 6 17 "rdc"
0.932 7 17 "rdc"
0.804 8 17 "rdc"
0.62 9 17 "rdc"
0.584 10 17 "rdc"
1 1 18 "rdc"
1 2 18 "rdc"
1 3 18 "rdc"
0.998 4 18 "rdc"
0.97 5 18 "rdc"
0.814 6 18 "rdc"
0.596 7 18 "rdc"
0.43 8 18 "rdc"
0.276 9 18 "rdc"
0.306 10 18 "rdc"
1 1 19 "rdc"
1 2 19 "rdc"
1 3 19 "rdc"
0.996 4 19 "rdc"
0.898 5 19 "rdc"
0.62 6 19 "rdc"
0.472 7 19 "rdc"
0.286 8 19 "rdc"
0.302 9 19 "rdc"
0.164 10 19 "rdc"
1 1 20 "rdc"
1 2 20 "rdc"
1 3 20 "rdc"
0.958 4 20 "rdc"
0.692 5 20 "rdc"
0.384 6 20 "rdc"
0.306 7 20 "rdc"
0.27 8 20 "rdc"
0.144 9 20 "rdc"
0.142 10 20 "rdc"
1 1 21 "rdc"
1 2 21 "rdc"
1 3 21 "rdc"
0.998 4 21 "rdc"
0.866 5 21 "rdc"
0.76 6 21 "rdc"
0.598 7 21 "rdc"
0.4 8 21 "rdc"
0.276 9 21 "rdc"
0.212 10 21 "rdc"
1 1 22 "rdc"
1 2 22 "rdc"
1 3 22 "rdc"
0.992 4 22 "rdc"
0.858 5 22 "rdc"
0.504 6 22 "rdc"
0.36 7 22 "rdc"
0.274 8 22 "rdc"
0.178 9 22 "rdc"
0.15 10 22 "rdc"
1 1 23 "rdc"
1 2 23 "rdc"
0.998 3 23 "rdc"
0.842 4 23 "rdc"
0.5 5 23 "rdc"
0.354 6 23 "rdc"
0.242 7 23 "rdc"
0.156 8 23 "rdc"
0.118 9 23 "rdc"
0.104 10 23 "rdc"
1 1 24 "rdc"
1 2 24 "rdc"
1 3 24 "rdc"
0.976 4 24 "rdc"
0.856 5 24 "rdc"
0.556 6 24 "rdc"
0.418 7 24 "rdc"
0.276 8 24 "rdc"
0.274 9 24 "rdc"
0.116 10 24 "rdc"
1 1 25 "rdc"
1 2 25 "rdc"
1 3 25 "rdc"
0.986 4 25 "rdc"
0.816 5 25 "rdc"
0.562 6 25 "rdc"
0.446 7 25 "rdc"
0.298 8 25 "rdc"
0.264 9 25 "rdc"
0.166 10 25 "rdc"
1 1 26 "rdc"
1 2 26 "rdc"
0.814 3 26 "rdc"
0.35 4 26 "rdc"
0.216 5 26 "rdc"
0.178 6 26 "rdc"
0.108 7 26 "rdc"
0.094 8 26 "rdc"
0.066 9 26 "rdc"
0.07 10 26 "rdc"
1 1 27 "rdc"
1 2 27 "rdc"
1 3 27 "rdc"
1 4 27 "rdc"
0.894 5 27 "rdc"
0.748 6 27 "rdc"
0.534 7 27 "rdc"
0.37 8 27 "rdc"
0.26 9 27 "rdc"
0.2 10 27 "rdc"
1 1 28 "rdc"
1 2 28 "rdc"
1 3 28 "rdc"
1 4 28 "rdc"
0.996 5 28 "rdc"
0.898 6 28 "rdc"
0.666 7 28 "rdc"
0.462 8 28 "rdc"
