"power" "noise" "n_loess" "method"
0.13 9 26 "ar"
0.112 10 26 "ar"
1 1 27 "ar"
1 2 27 "ar"
1 3 27 "ar"
1 4 27 "ar"
0.994 5 27 "ar"
0.956 6 27 "ar"
0.894 7 27 "ar"
0.798 8 27 "ar"
0.668 9 27 "ar"
0.52 10 27 "ar"
1 1 28 "ar"
1 2 28 "ar"
1 3 28 "ar"
1 4 28 "ar"
1 5 28 "ar"
0.98 6 28 "ar"
0.884 7 28 "ar"
0.804 8 28 "ar"
0.726 9 28 "ar"
0.632 10 28 "ar"
1 1 29 "ar"
1 2 29 "ar"
1 3 29 "ar"
0.996 4 29 "ar"
0.934 5 29 "ar"
0.78 6 29 "ar"
0.584 7 29 "ar"
0.51 8 29 "ar"
0.47 9 29 "ar"
0.338 10 29 "ar"
1 1 30 "ar"
1 2 30 "ar"
0.95 3 30 "ar"
0.692 4 30 "ar"
0.454 5 30 "ar"
0.312 6 30 "ar"
0.288 7 30 "ar"
0.204 8 30 "ar"
0.142 9 30 "ar"
0.116 10 30 "ar"
1 1 31 "ar"
1 2 31 "ar"
0.928 3 31 "ar"
0.646 4 31 "ar"
0.394 5 31 "ar"
0.296 6 31 "ar"
0.176 7 31 "ar"
0.19 8 31 "ar"
0.106 9 31 "ar"
0.112 10 31 "ar"
1 1 32 "ar"
1 2 32 "ar"
1 3 32 "ar"
0.982 4 32 "ar"
0.854 5 32 "ar"
0.7 6 32 "ar"
0.44 7 32 "ar"
0.35 8 32 "ar"
0.24 9 32 "ar"
0.212 10 32 "ar"
1 1 33 "ar"
1 2 33 "ar"
1 3 33 "ar"
0.99 4 33 "ar"
0.856 5 33 "ar"
0.69 6 33 "ar"
0.516 7 33 "ar"
0.404 8 33 "ar"
0.278 9 33 "ar"
0.278 10 33 "ar"
1 1 34 "ar"
1 2 34 "ar"
1 3 34 "ar"
1 4 34 "ar"
1 5 34 "ar"
1 6 34 "ar"
0.998 7 34 "ar"
0.994 8 34 "ar"
0.966 9 34 "ar"
0.928 10 34 "ar"
1 1 35 "ar"
1 2 35 "ar"
0.962 3 35 "ar"
0.674 4 35 "ar"
0.468 5 35 "ar"
0.256 6 35 "ar"
0.178 7 35 "ar"
0.156 8 35 "ar"
0.14 9 35 "ar"
0.128 10 35 "ar"
1 1 36 "ar"
0.334 2 36 "ar"
0.096 3 36 "ar"
0.06 4 36 "ar"
0.07 5 36 "ar"
0.044 6 36 "ar"
0.054 7 36 "ar"
0.07 8 36 "ar"
0.058 9 36 "ar"
0.072 10 36 "ar"
1 1 37 "ar"
1 2 37 "ar"
1 3 37 "ar"
1 4 37 "ar"
1 5 37 "ar"
1 6 37 "ar"
1 7 37 "ar"
1 8 37 "ar"
0.996 9 37 "ar"
0.984 10 37 "ar"
1 1 38 "ar"
1 2 38 "ar"
0.994 3 38 "ar"
0.774 4 38 "ar"
0.568 5 38 "ar"
0.37 6 38 "ar"
0.238 7 38 "ar"
0.232 8 38 "ar"
0.142 9 38 "ar"
0.112 10 38 "ar"
1 1 39 "ar"
1 2 39 "ar"
1 3 39 "ar"
0.958 4 39 "ar"
0.772 5 39 "ar"
0.622 6 39 "ar"
0.438 7 39 "ar"
0.334 8 39 "ar"
0.28 9 39 "ar"
0.274 10 39 "ar"
1 1 40 "ar"
0.998 2 40 "ar"
0.758 3 40 "ar"
0.348 4 40 "ar"
0.164 5 40 "ar"
0.174 6 40 "ar"
0.146 7 40 "ar"
0.112 8 40 "ar"
0.104 9 40 "ar"
0.088 10 40 "ar"
1 1 41 "ar"
1 2 41 "ar"
1 3 41 "ar"
1 4 41 "ar"
0.996 5 41 "ar"
0.924 6 41 "ar"
0.876 7 41 "ar"
0.736 8 41 "ar"
0.628 9 41 "ar"
0.492 10 41 "ar"
1 1 42 "ar"
1 2 42 "ar"
1 3 42 "ar"
1 4 42 "ar"
0.996 5 42 "ar"
0.934 6 42 "ar"
0.86 7 42 "ar"
0.694 8 42 "ar"
0.584 9 42 "ar"
0.476 10 42 "ar"
1 1 43 "ar"
1 2 43 "ar"
1 3 43 "ar"
0.926 4 43 "ar"
0.758 5 43 "ar"
0.596 6 43 "ar"
0.42 7 43 "ar"
0.334 8 43 "ar"
0.248 9 43 "ar"
0.222 10 43 "ar"
1 1 44 "ar"
1 2 44 "ar"
0.998 3 44 "ar"
0.968 4 44 "ar"
0.842 5 44 "ar"
0.608 6 44 "ar"
0.406 7 44 "ar"
0.378 8 44 "ar"
0.336 9 44 "ar"
0.262 10 44 "ar"
1 1 45 "ar"
1 2 45 "ar"
1 3 45 "ar"
0.998 4 45 "ar"
0.974 5 45 "ar"
0.87 6 45 "ar"
0.732 7 45 "ar"
0.586 8 45 "ar"
0.43 9 45 "ar"
0.374 10 45 "ar"
1 1 46 "ar"
1 2 46 "ar"
1 3 46 "ar"
1 4 46 "ar"
1 5 46 "ar"
0.998 6 46 "ar"
0.95 7 46 "ar"
0.896 8 46 "ar"
0.806 9 46 "ar"
0.72 10 46 "ar"
1 1 47 "ar"
1 2 47 "ar"
1 3 47 "ar"
1 4 47 "ar"
1 5 47 "ar"
0.998 6 47 "ar"
0.984 7 47 "ar"
0.94 8 47 "ar"
0.816 9 47 "ar"
0.738 10 47 "ar"
1 1 48 "ar"
1 2 48 "ar"
0.934 3 48 "ar"
0.582 4 48 "ar"
0.36 5 48 "ar"
0.226 6 48 "ar"
0.156 7 48 "ar"
0.15 8 48 "ar"
0.122 9 48 "ar"
0.108 10 48 "ar"
1 1 49 "ar"
1 2 49 "ar"
1 3 49 "ar"
1 4 49 "ar"
1 5 49 "ar"
1 6 49 "ar"
0.99 7 49 "ar"
0.972 8 49 "ar"
0.94 9 49 "ar"
0.828 10 49 "ar"
1 1 50 "ar"
1 2 50 "ar"
0.866 3 50 "ar"
0.53 4 50 "ar"
0.34 5 50 "ar"
0.244 6 50 "ar"
0.166 7 50 "ar"
0.142 8 50 "ar"
0.116 9 50 "ar"
0.084 10 50 "ar"
1 1 51 "ar"
1 2 51 "ar"
1 3 51 "ar"
1 4 51 "ar"
1 5 51 "ar"
1 6 51 "ar"
1 7 51 "ar"
0.998 8 51 "ar"
0.974 9 51 "ar"
0.958 10 51 "ar"
1 1 52 "ar"
1 2 52 "ar"
1 3 52 "ar"
0.994 4 52 "ar"
0.924 5 52 "ar"
0.766 6 52 "ar"
0.668 7 52 "ar"
0.484 8 52 "ar"
0.42 9 52 "ar"
0.276 10 52 "ar"
1 1 53 "ar"
1 2 53 "ar"
1 3 53 "ar"
0.948 4 53 "ar"
0.786 5 53 "ar"
0.558 6 53 "ar"
0.416 7 53 "ar"
0.206 8 53 "ar"
0.17 9 53 "ar"
0.15 10 53 "ar"
1 1 54 "ar"
1 2 54 "ar"
1 3 54 "ar"
0.984 4 54 "ar"
0.876 5 54 "ar"
0.63 6 54 "ar"
0.518 7 54 "ar"
0.378 8 54 "ar"
0.318 9 54 "ar"
0.228 10 54 "ar"
1 1 55 "ar"
0.992 2 55 "ar"
0.65 3 55 "ar"
0.32 4 55 "ar"
0.254 5 55 "ar"
0.16 6 55 "ar"
0.128 7 55 "ar"
0.11 8 55 "ar"
0.088 9 55 "ar"
0.07 10 55 "ar"
1 1 56 "ar"
1 2 56 "ar"
1 3 56 "ar"
1 4 56 "ar"
0.982 5 56 "ar"
0.866 6 56 "ar"
0.672 7 56 "ar"
0.524 8 56 "ar"
0.518 9 56 "ar"
0.36 10 56 "ar"
1 1 57 "ar"
1 2 57 "ar"
1 3 57 "ar"
0.996 4 57 "ar"
0.924 5 57 "ar"
0.78 6 57 "ar"
0.608 7 57 "ar"
0.498 8 57 "ar"
0.352 9 57 "ar"
0.334 10 57 "ar"
1 1 58 "ar"
1 2 58 "ar"
1 3 58 "ar"
0.974 4 58 "ar"
0.84 5 58 "ar"
0.628 6 58 "ar"
0.492 7 58 "ar"
0.334 8 58 "ar"
0.31 9 58 "ar"
0.234 10 58 "ar"
1 1 59 "ar"
1 2 59 "ar"
1 3 59 "ar"
1 4 59 "ar"
0.968 5 59 "ar"
0.85 6 59 "ar"
0.71 7 59 "ar"
0.594 8 59 "ar"
0.558 9 59 "ar"
0.426 10 59 "ar"
1 1 60 "ar"
1 2 60 "ar"
1 3 60 "ar"
0.94 4 60 "ar"
0.772 5 60 "ar"
0.594 6 60 "ar"
0.508 7 60 "ar"
0.32 8 60 "ar"
0.246 9 60 "ar"
0.206 10 60 "ar"
1 1 61 "ar"
1 2 61 "ar"
1 3 61 "ar"
1 4 61 "ar"
1 5 61 "ar"
1 6 61 "ar"
0.992 7 61 "ar"
0.968 8 61 "ar"
0.938 9 61 "ar"
0.8 10 61 "ar"
1 1 62 "ar"
0.99 2 62 "ar"
0.572 3 62 "ar"
0.276 4 62 "ar"
0.2 5 62 "ar"
0.14 6 62 "ar"
0.092 7 62 "ar"
0.104 8 62 "ar"
0.1 9 62 "ar"
0.074 10 62 "ar"
1 1 63 "ar"
1 2 63 "ar"
1 3 63 "ar"
1 4 63 "ar"
0.952 5 63 "ar"
0.864 6 63 "ar"
0.696 7 63 "ar"
0.6 8 63 "ar"
0.452 9 63 "ar"
0.384 10 63 "ar"
1 1 64 "ar"
1 2 64 "ar"
1 3 64 "ar"
1 4 64 "ar"
1 5 64 "ar"
0.982 6 64 "ar"
0.92 7 64 "ar"
0.866 8 64 "ar"
0.706 9 64 "ar"
0.592 10 64 "ar"
1 1 65 "ar"
1 2 65 "ar"
0.868 3 65 "ar"
0.486 4 65 "ar"
0.346 5 65 "ar"
0.204 6 65 "ar"
0.15 7 65 "ar"
0.124 8 65 "ar"
0.066 9 65 "ar"
0.082 10 65 "ar"
1 1 66 "ar"
1 2 66 "ar"
1 3 66 "ar"
0.93 4 66 "ar"
0.718 5 66 "ar"
0.53 6 66 "ar"
0.394 7 66 "ar"
0.272 8 66 "ar"
0.222 9 66 "ar"
0.25 10 66 "ar"
1 1 67 "ar"
1 2 67 "ar"
0.978 3 67 "ar"
0.586 4 67 "ar"
0.248 5 67 "ar"
0.22 6 67 "ar"
0.144 7 67 "ar"
0.066 8 67 "ar"
0.104 9 67 "ar"
0.1 10 67 "ar"
1 1 68 "ar"
1 2 68 "ar"
1 3 68 "ar"
1 4 68 "ar"
1 5 68 "ar"
1 6 68 "ar"
1 7 68 "ar"
0.988 8 68 "ar"
0.956 9 68 "ar"
0.888 10 68 "ar"
1 1 69 "ar"
1 2 69 "ar"
0.996 3 69 "ar"
0.97 4 69 "ar"
0.778 5 69 "ar"
0.642 6 69 "ar"
0.464 7 69 "ar"
0.322 8 69 "ar"
0.306 9 69 "ar"
0.278 10 69 "ar"
1 1 70 "ar"
1 2 70 "ar"
1 3 70 "ar"
1 4 70 "ar"
1 5 70 "ar"
0.996 6 70 "ar"
0.948 7 70 "ar"
0.912 8 70 "ar"
0.784 9 70 "ar"
0.6 10 70 "ar"
1 1 71 "ar"
1 2 71 "ar"
1 3 71 "ar"
0.996 4 71 "ar"
0.92 5 71 "ar"
0.802 6 71 "ar"
0.596 7 71 "ar"
0.406 8 71 "ar"
0.408 9 71 "ar"
0.334 10 71 "ar"
1 1 72 "ar"
1 2 72 "ar"
1 3 72 "ar"
1 4 72 "ar"
0.996 5 72 "ar"
0.92 6 72 "ar"
0.864 7 72 "ar"
0.618 8 72 "ar"
0.554 9 72 "ar"
0.432 10 72 "ar"
1 1 73 "ar"
1 2 73 "ar"
1 3 73 "ar"
1 4 73 "ar"
1 5 73 "ar"
0.998 6 73 "ar"
0.98 7 73 "ar"
0.924 8 73 "ar"
0.868 9 73 "ar"
0.778 10 73 "ar"
1 1 74 "ar"
1 2 74 "ar"
0.946 3 74 "ar"
0.674 4 74 "ar"
0.464 5 74 "ar"
0.294 6 74 "ar"
0.21 7 74 "ar"
0.212 8 74 "ar"
0.156 9 74 "ar"
0.118 10 74 "ar"
1 1 75 "ar"
1 2 75 "ar"
1 3 75 "ar"
1 4 75 "ar"
1 5 75 "ar"
0.978 6 75 "ar"
0.912 7 75 "ar"
0.804 8 75 "ar"
0.584 9 75 "ar"
0.596 10 75 "ar"
1 1 76 "ar"
1 2 76 "ar"
1 3 76 "ar"
1 4 76 "ar"
0.992 5 76 "ar"
0.918 6 76 "ar"
0.784 7 76 "ar"
0.682 8 76 "ar"
0.496 9 76 "ar"
0.478 10 76 "ar"
1 1 77 "ar"
0.99 2 77 "ar"
0.488 3 77 "ar"
0.206 4 77 "ar"
0.17 5 77 "ar"
0.12 6 77 "ar"
0.104 7 77 "ar"
0.112 8 77 "ar"
0.072 9 77 "ar"
0.048 10 77 "ar"
1 1 78 "ar"
1 2 78 "ar"
1 3 78 "ar"
0.928 4 78 "ar"
0.692 5 78 "ar"
0.484 6 78 "ar"
0.354 7 78 "ar"
0.284 8 78 "ar"
0.216 9 78 "ar"
0.236 10 78 "ar"
1 1 79 "ar"
1 2 79 "ar"
1 3 79 "ar"
1 4 79 "ar"
0.986 5 79 "ar"
0.944 6 79 "ar"
0.836 7 79 "ar"
0.72 8 79 "ar"
0.538 9 79 "ar"
0.494 10 79 "ar"
1 1 80 "ar"
1 2 80 "ar"
0.68 3 80 "ar"
0.328 4 80 "ar"
0.21 5 80 "ar"
0.144 6 80 "ar"
0.122 7 80 "ar"
0.048 8 80 "ar"
0.092 9 80 "ar"
0.084 10 80 "ar"
1 1 81 "ar"
1 2 81 "ar"
1 3 81 "ar"
0.998 4 81 "ar"
0.962 5 81 "ar"
0.878 6 81 "ar"
0.682 7 81 "ar"
0.682 8 81 "ar"
0.448 9 81 "ar"
0.39 10 81 "ar"
1 1 82 "ar"
0.824 2 82 "ar"
0.194 3 82 "ar"
0.14 4 82 "ar"
0.08 5 82 "ar"
0.064 6 82 "ar"
0.068 7 82 "ar"
0.064 8 82 "ar"
0.052 9 82 "ar"
0.068 10 82 "ar"
1 1 83 "ar"
0.984 2 83 "ar"
0.478 3 83 "ar"
0.25 4 83 "ar"
0.15 5 83 "ar"
0.098 6 83 "ar"
0.086 7 83 "ar"
0.084 8 83 "ar"
0.056 9 83 "ar"
0.066 10 83 "ar"
1 1 84 "ar"
1 2 84 "ar"
0.998 3 84 "ar"
0.898 4 84 "ar"
0.634 5 84 "ar"
0.438 6 84 "ar"
0.234 7 84 "ar"
0.192 8 84 "ar"
0.222 9 84 "ar"
