"acc_train" "acc_test" "test_lower" "test_upper" "Method"
0.838245421245421 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.845375824175824 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.826335531135531 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.840404395604396 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.810962637362637 0.887096774193548 0.781113213479142 0.953383375627183 "cor"
0.857698168498168 0.806451612903226 0.686314048300537 0.895790370737824 "cor"
0.809214652014652 0.854838709677419 0.742243137270859 0.931411387376539 "cor"
0.836942857142857 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.836474725274725 0.758064516129032 0.632550292814055 0.857813964151982 "cor"
0.819384615384615 0.887096774193548 0.781113213479142 0.953383375627183 "cor"
0.839842490842491 0.758064516129032 0.632550292814055 0.857813964151982 "cor"
0.867217582417582 0.725806451612903 0.597683842594978 0.831457055070029 "cor"
0.845517948717949 0.774193548387097 0.650263132359369 0.870696081027774 "cor"
0.833695970695971 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.817049816849817 0.854838709677419 0.742243137270859 0.931411387376539 "cor"
0.846813919413919 0.854838709677419 0.742243137270859 0.931411387376539 "cor"
0.816850549450549 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.805840293040293 0.887096774193548 0.781113213479142 0.953383375627183 "cor"
0.85025347985348 0.887096774193548 0.781113213479142 0.953383375627183 "cor"
0.815971428571429 0.806451612903226 0.686314048300537 0.895790370737824 "cor"
0.839935531135531 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.814855677655678 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.81756043956044 0.935483870967742 0.842971915962426 0.98214330283635 "cor"
0.835027838827839 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.808098168498169 0.919354838709677 0.821747406867766 0.973295383204164 "cor"
0.847682051282051 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.838778754578755 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.831893772893773 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.817235897435897 0.854838709677419 0.742243137270859 0.931411387376539 "cor"
0.824334065934066 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.849259340659341 0.758064516129032 0.632550292814055 0.857813964151982 "cor"
0.789102564102564 0.887096774193548 0.781113213479142 0.953383375627183 "cor"
0.80872967032967 0.854838709677419 0.742243137270859 0.931411387376539 "cor"
0.843915750915751 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.821371428571429 0.919354838709677 0.821747406867766 0.973295383204164 "cor"
0.788458608058608 0.903225806451613 0.801169623701541 0.963650418307025 "cor"
0.822707692307692 0.790322580645161 0.668179165710105 0.883361034221898 "cor"
0.844029304029304 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.843975824175824 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.802449816849817 0.903225806451613 0.801169623701541 0.963650418307025 "cor"
0.854555311355311 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.819621245421245 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.859043223443223 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.856629304029304 0.790322580645161 0.668179165710105 0.883361034221898 "cor"
0.819774358974359 0.854838709677419 0.742243137270859 0.931411387376539 "cor"
0.813629304029304 0.82258064516129 0.704686678529349 0.907961604082047 "cor"
0.826238095238095 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.848808791208791 0.838709677419355 0.723320154165078 0.919846935083223 "cor"
0.84329010989011 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.84627032967033 0.870967741935484 0.761491863618209 0.942609994392978 "cor"
0.857874725274725 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.866878388278388 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.833523076923077 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.840717948717949 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.829992673992674 0.919354838709677 0.821747406867766 0.973295383204164 "ar"
0.854863736263736 0.758064516129032 0.632550292814055 0.857813964151982 "ar"
0.846049816849817 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.850012454212454 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.834652747252747 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.823062271062271 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.845754578754579 0.806451612903226 0.686314048300537 0.895790370737824 "ar"
0.873531135531136 0.758064516129032 0.632550292814055 0.857813964151982 "ar"
0.858724542124542 0.774193548387097 0.650263132359369 0.870696081027774 "ar"
0.847679853479854 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.809042490842491 0.887096774193548 0.781113213479142 0.953383375627183 "ar"
0.841607326007326 0.887096774193548 0.781113213479142 0.953383375627183 "ar"
0.844419047619048 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.832050549450549 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.848626373626374 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.851384615384615 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.854949450549451 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.831267399267399 0.887096774193548 0.781113213479142 0.953383375627183 "ar"
0.813337728937729 0.935483870967742 0.842971915962426 0.98214330283635 "ar"
0.848434432234432 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.819672527472528 0.919354838709677 0.821747406867766 0.973295383204164 "ar"
0.853432967032967 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.844742124542124 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.841682051282051 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.816250549450549 0.887096774193548 0.781113213479142 0.953383375627183 "ar"
0.84270989010989 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.857200732600733 0.774193548387097 0.650263132359369 0.870696081027774 "ar"
0.798208058608059 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.814071794871795 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.861750183150183 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.818120879120879 0.919354838709677 0.821747406867766 0.973295383204164 "ar"
0.801995604395604 0.935483870967742 0.842971915962426 0.98214330283635 "ar"
0.813065934065934 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.861026373626374 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.85692673992674 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.818428571428571 0.935483870967742 0.842971915962426 0.98214330283635 "ar"
0.85141978021978 0.838709677419355 0.723320154165078 0.919846935083223 "ar"
0.833232967032967 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.8741663003663 0.806451612903226 0.686314048300537 0.895790370737824 "ar"
0.845223443223443 0.82258064516129 0.704686678529349 0.907961604082047 "ar"
0.83470695970696 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.824435897435897 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.844370695970696 0.887096774193548 0.781113213479142 0.953383375627183 "ar"
0.858074725274725 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.838701098901099 0.870967741935484 0.761491863618209 0.942609994392978 "ar"
0.852298901098901 0.854838709677419 0.742243137270859 0.931411387376539 "ar"
0.854393406593407 0.806451612903226 0.686314048300537 0.895790370737824 "dcor"
0.876815384615385 0.806451612903226 0.686314048300537 0.895790370737824 "dcor"
0.860887912087912 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.857147252747253 0.82258064516129 0.704686678529349 0.907961604082047 "dcor"
0.822770695970696 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.868232234432234 0.790322580645161 0.668179165710105 0.883361034221898 "dcor"
0.826251282051282 0.903225806451613 0.801169623701541 0.963650418307025 "dcor"
0.857208791208791 0.854838709677419 0.742243137270859 0.931411387376539 "dcor"
0.850132600732601 0.838709677419355 0.723320154165078 0.919846935083223 "dcor"
0.827707692307692 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.859627106227106 0.790322580645161 0.668179165710105 0.883361034221898 "dcor"
0.895756043956044 0.725806451612903 0.597683842594978 0.831457055070029 "dcor"
0.854886446886447 0.774193548387097 0.650263132359369 0.870696081027774 "dcor"
0.836196336996337 0.854838709677419 0.742243137270859 0.931411387376539 "dcor"
0.825388278388278 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.866049084249084 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.845600732600733 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.833359706959707 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.84558021978022 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.8362 0.838709677419355 0.723320154165078 0.919846935083223 "dcor"
0.854695238095238 0.838709677419355 0.723320154165078 0.919846935083223 "dcor"
0.862183882783883 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.835001465201465 0.919354838709677 0.821747406867766 0.973295383204164 "dcor"
0.846805128205128 0.806451612903226 0.686314048300537 0.895790370737824 "dcor"
0.831071794871795 0.919354838709677 0.821747406867766 0.973295383204164 "dcor"
0.858289377289377 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.860648351648352 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.855139926739927 0.82258064516129 0.704686678529349 0.907961604082047 "dcor"
0.84247032967033 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.825699633699634 0.919354838709677 0.821747406867766 0.973295383204164 "dcor"
0.875626373626374 0.806451612903226 0.686314048300537 0.895790370737824 "dcor"
0.83056336996337 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.830029304029304 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.852216117216117 0.870967741935484 0.761491863618209 0.942609994392978 "dcor"
0.82609304029304 0.903225806451613 0.801169623701541 0.963650418307025 "dcor"
0.828187545787546 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.852972161172161 0.887096774193548 0.781113213479142 0.953383375627183 "dcor"
0.861520146520147 0.854838709677419 0.742243137270859 0.931411387376539 "dcor"
0.869951648351648 0.838709677419355 0.723320154165078 0.919846935083223 "dcor"
0.837700366300366 0.919354838709677 0.821747406867766 0.973295383204164 "dcor"
0.852860805860806 0.854838709677419 0.742243137270859 0.931411387376539 "dcor"
0.818861538461538 0.854838709677419 0.742243137270859 0.931411387376539 "dcor"
0.889274725274725 0.790322580645161 0.668179165710105 0.883361034221898 "dcor"
0.874619047619048 0.806451612903226 0.686314048300537 0.895790370737824 "dcor"
