"power" "noise" "d_type" "method"
0.074 28 "x^(1/4)" "ar"
0.048 29 "x^(1/4)" "ar"
0.086 30 "x^(1/4)" "ar"
0.322 1 "circle" "ar"
0.18 2 "circle" "ar"
0.088 3 "circle" "ar"
0.046 4 "circle" "ar"
0.034 5 "circle" "ar"
0.03 6 "circle" "ar"
0.034 7 "circle" "ar"
0.02 8 "circle" "ar"
0.01 9 "circle" "ar"
0.02 10 "circle" "ar"
0.016 11 "circle" "ar"
0.008 12 "circle" "ar"
0.012 13 "circle" "ar"
0.012 14 "circle" "ar"
0.006 15 "circle" "ar"
0.012 16 "circle" "ar"
0.014 17 "circle" "ar"
0.012 18 "circle" "ar"
0.016 19 "circle" "ar"
0.024 20 "circle" "ar"
0.02 21 "circle" "ar"
0.034 22 "circle" "ar"
0.02 23 "circle" "ar"
0.032 24 "circle" "ar"
0.034 25 "circle" "ar"
0.02 26 "circle" "ar"
0.02 27 "circle" "ar"
0.022 28 "circle" "ar"
0.042 29 "circle" "ar"
0.022 30 "circle" "ar"
0.842 1 "step" "ar"
0.418 2 "step" "ar"
0.21 3 "step" "ar"
0.166 4 "step" "ar"
0.138 5 "step" "ar"
0.11 6 "step" "ar"
0.12 7 "step" "ar"
0.052 8 "step" "ar"
0.066 9 "step" "ar"
0.07 10 "step" "ar"
0.034 11 "step" "ar"
0.09 12 "step" "ar"
0.052 13 "step" "ar"
0.09 14 "step" "ar"
0.066 15 "step" "ar"
0.048 16 "step" "ar"
0.034 17 "step" "ar"
0.064 18 "step" "ar"
0.082 19 "step" "ar"
0.082 20 "step" "ar"
0.082 21 "step" "ar"
0.07 22 "step" "ar"
0.048 23 "step" "ar"
0.05 24 "step" "ar"
0.054 25 "step" "ar"
0.048 26 "step" "ar"
0.056 27 "step" "ar"
0.06 28 "step" "ar"
0.054 29 "step" "ar"
0.042 30 "step" "ar"
0.782 1 "cross" "ar"
0.482 2 "cross" "ar"
0.494 3 "cross" "ar"
0.354 4 "cross" "ar"
0.234 5 "cross" "ar"
0.228 6 "cross" "ar"
0.2 7 "cross" "ar"
0.132 8 "cross" "ar"
0.122 9 "cross" "ar"
0.134 10 "cross" "ar"
0.112 11 "cross" "ar"
0.084 12 "cross" "ar"
0.096 13 "cross" "ar"
0.062 14 "cross" "ar"
0.068 15 "cross" "ar"
0.126 16 "cross" "ar"
0.078 17 "cross" "ar"
0.074 18 "cross" "ar"
0.102 19 "cross" "ar"
0.056 20 "cross" "ar"
0.118 21 "cross" "ar"
0.064 22 "cross" "ar"
0.08 23 "cross" "ar"
0.08 24 "cross" "ar"
0.072 25 "cross" "ar"
0.084 26 "cross" "ar"
0.074 27 "cross" "ar"
0.06 28 "cross" "ar"
0.05 29 "cross" "ar"
0.076 30 "cross" "ar"
0.224 1 "clusters" "ar"
0.262 2 "clusters" "ar"
0.248 3 "clusters" "ar"
0.216 4 "clusters" "ar"
0.178 5 "clusters" "ar"
0.184 6 "clusters" "ar"
0.224 7 "clusters" "ar"
0.172 8 "clusters" "ar"
0.176 9 "clusters" "ar"
0.222 10 "clusters" "ar"
0.132 11 "clusters" "ar"
0.166 12 "clusters" "ar"
0.118 13 "clusters" "ar"
0.132 14 "clusters" "ar"
0.096 15 "clusters" "ar"
0.11 16 "clusters" "ar"
0.116 17 "clusters" "ar"
0.104 18 "clusters" "ar"
0.062 19 "clusters" "ar"
0.104 20 "clusters" "ar"
0.082 21 "clusters" "ar"
0.08 22 "clusters" "ar"
0.048 23 "clusters" "ar"
0.066 24 "clusters" "ar"
0.074 25 "clusters" "ar"
0.062 26 "clusters" "ar"
0.058 27 "clusters" "ar"
0.062 28 "clusters" "ar"
0.042 29 "clusters" "ar"
0.048 30 "clusters" "ar"
0.698 1 "two parabola" "ar"
0.51 2 "two parabola" "ar"
0.326 3 "two parabola" "ar"
0.294 4 "two parabola" "ar"
0.224 5 "two parabola" "ar"
0.254 6 "two parabola" "ar"
0.244 7 "two parabola" "ar"
0.168 8 "two parabola" "ar"
0.098 9 "two parabola" "ar"
0.082 10 "two parabola" "ar"
0.134 11 "two parabola" "ar"
0.112 12 "two parabola" "ar"
0.09 13 "two parabola" "ar"
0.08 14 "two parabola" "ar"
0.076 15 "two parabola" "ar"
0.072 16 "two parabola" "ar"
0.086 17 "two parabola" "ar"
0.092 18 "two parabola" "ar"
0.066 19 "two parabola" "ar"
0.08 20 "two parabola" "ar"
0.09 21 "two parabola" "ar"
0.052 22 "two parabola" "ar"
0.07 23 "two parabola" "ar"
0.066 24 "two parabola" "ar"
0.05 25 "two parabola" "ar"
0.084 26 "two parabola" "ar"
0.06 27 "two parabola" "ar"
0.028 28 "two parabola" "ar"
0.114 29 "two parabola" "ar"
0.09 30 "two parabola" "ar"
0.076 1 "spiral" "ar"
0.03 2 "spiral" "ar"
0.046 3 "spiral" "ar"
0.07 4 "spiral" "ar"
0.044 5 "spiral" "ar"
0.068 6 "spiral" "ar"
0.05 7 "spiral" "ar"
0.076 8 "spiral" "ar"
0.054 9 "spiral" "ar"
0.056 10 "spiral" "ar"
0.058 11 "spiral" "ar"
0.056 12 "spiral" "ar"
0.042 13 "spiral" "ar"
0.07 14 "spiral" "ar"
0.062 15 "spiral" "ar"
0.066 16 "spiral" "ar"
0.032 17 "spiral" "ar"
0.046 18 "spiral" "ar"
0.044 19 "spiral" "ar"
0.048 20 "spiral" "ar"
0.038 21 "spiral" "ar"
0.058 22 "spiral" "ar"
0.042 23 "spiral" "ar"
0.06 24 "spiral" "ar"
0.058 25 "spiral" "ar"
0.056 26 "spiral" "ar"
0.04 27 "spiral" "ar"
0.05 28 "spiral" "ar"
0.056 29 "spiral" "ar"
0.08 30 "spiral" "ar"
1 1 "linear" "cor"
1 2 "linear" "cor"
0.998 3 "linear" "cor"
0.928 4 "linear" "cor"
0.776 5 "linear" "cor"
0.564 6 "linear" "cor"
0.44 7 "linear" "cor"
0.412 8 "linear" "cor"
0.324 9 "linear" "cor"
0.264 10 "linear" "cor"
0.286 11 "linear" "cor"
0.214 12 "linear" "cor"
0.156 13 "linear" "cor"
0.136 14 "linear" "cor"
0.168 15 "linear" "cor"
0.114 16 "linear" "cor"
0.148 17 "linear" "cor"
0.148 18 "linear" "cor"
0.112 19 "linear" "cor"
0.114 20 "linear" "cor"
0.14 21 "linear" "cor"
0.108 22 "linear" "cor"
0.092 23 "linear" "cor"
0.082 24 "linear" "cor"
0.06 25 "linear" "cor"
0.098 26 "linear" "cor"
0.09 27 "linear" "cor"
0.086 28 "linear" "cor"
0.082 29 "linear" "cor"
0.094 30 "linear" "cor"
0.116 1 "quadratic" "cor"
0.11 2 "quadratic" "cor"
0.08 3 "quadratic" "cor"
0.074 4 "quadratic" "cor"
0.064 5 "quadratic" "cor"
0.06 6 "quadratic" "cor"
0.082 7 "quadratic" "cor"
0.056 8 "quadratic" "cor"
0.04 9 "quadratic" "cor"
0.042 10 "quadratic" "cor"
0.044 11 "quadratic" "cor"
0.038 12 "quadratic" "cor"
0.056 13 "quadratic" "cor"
0.066 14 "quadratic" "cor"
0.034 15 "quadratic" "cor"
0.038 16 "quadratic" "cor"
0.046 17 "quadratic" "cor"
0.03 18 "quadratic" "cor"
0.042 19 "quadratic" "cor"
0.042 20 "quadratic" "cor"
0.052 21 "quadratic" "cor"
0.06 22 "quadratic" "cor"
0.046 23 "quadratic" "cor"
0.066 24 "quadratic" "cor"
0.086 25 "quadratic" "cor"
0.038 26 "quadratic" "cor"
0.036 27 "quadratic" "cor"
0.066 28 "quadratic" "cor"
0.042 29 "quadratic" "cor"
0.086 30 "quadratic" "cor"
0.726 1 "cubic" "cor"
0.676 2 "cubic" "cor"
0.588 3 "cubic" "cor"
0.422 4 "cubic" "cor"
0.364 5 "cubic" "cor"
0.258 6 "cubic" "cor"
0.238 7 "cubic" "cor"
0.19 8 "cubic" "cor"
0.178 9 "cubic" "cor"
0.184 10 "cubic" "cor"
0.104 11 "cubic" "cor"
0.1 12 "cubic" "cor"
0.144 13 "cubic" "cor"
0.104 14 "cubic" "cor"
0.08 15 "cubic" "cor"
0.086 16 "cubic" "cor"
0.112 17 "cubic" "cor"
0.106 18 "cubic" "cor"
0.056 19 "cubic" "cor"
0.086 20 "cubic" "cor"
0.078 21 "cubic" "cor"
0.07 22 "cubic" "cor"
0.06 23 "cubic" "cor"
0.088 24 "cubic" "cor"
0.058 25 "cubic" "cor"
0.09 26 "cubic" "cor"
0.068 27 "cubic" "cor"
0.088 28 "cubic" "cor"
0.076 29 "cubic" "cor"
0.074 30 "cubic" "cor"
0.4 1 "sine period 1/2" "cor"
0.328 2 "sine period 1/2" "cor"
0.27 3 "sine period 1/2" "cor"
0.262 4 "sine period 1/2" "cor"
0.168 5 "sine period 1/2" "cor"
0.184 6 "sine period 1/2" "cor"
0.136 7 "sine period 1/2" "cor"
0.094 8 "sine period 1/2" "cor"
0.118 9 "sine period 1/2" "cor"
0.078 10 "sine period 1/2" "cor"
0.048 11 "sine period 1/2" "cor"
0.056 12 "sine period 1/2" "cor"
0.084 13 "sine period 1/2" "cor"
0.096 14 "sine period 1/2" "cor"
0.054 15 "sine period 1/2" "cor"
0.062 16 "sine period 1/2" "cor"
0.066 17 "sine period 1/2" "cor"
0.062 18 "sine period 1/2" "cor"
0.05 19 "sine period 1/2" "cor"
0.062 20 "sine period 1/2" "cor"
0.04 21 "sine period 1/2" "cor"
0.072 22 "sine period 1/2" "cor"
0.084 23 "sine period 1/2" "cor"
0.044 24 "sine period 1/2" "cor"
0.07 25 "sine period 1/2" "cor"
0.066 26 "sine period 1/2" "cor"
0.078 27 "sine period 1/2" "cor"
0.054 28 "sine period 1/2" "cor"
0.078 29 "sine period 1/2" "cor"
0.054 30 "sine period 1/2" "cor"
0.062 1 "sine period 1/8" "cor"
0.088 2 "sine period 1/8" "cor"
0.06 3 "sine period 1/8" "cor"
0.074 4 "sine period 1/8" "cor"
0.06 5 "sine period 1/8" "cor"
0.062 6 "sine period 1/8" "cor"
0.076 7 "sine period 1/8" "cor"
0.048 8 "sine period 1/8" "cor"
0.068 9 "sine period 1/8" "cor"
0.06 10 "sine period 1/8" "cor"
0.062 11 "sine period 1/8" "cor"
0.04 12 "sine period 1/8" "cor"
0.09 13 "sine period 1/8" "cor"
0.046 14 "sine period 1/8" "cor"
0.054 15 "sine period 1/8" "cor"
0.082 16 "sine period 1/8" "cor"
0.066 17 "sine period 1/8" "cor"
0.064 18 "sine period 1/8" "cor"
0.052 19 "sine period 1/8" "cor"
0.042 20 "sine period 1/8" "cor"
0.048 21 "sine period 1/8" "cor"
0.062 22 "sine period 1/8" "cor"
0.054 23 "sine period 1/8" "cor"
0.06 24 "sine period 1/8" "cor"
0.088 25 "sine period 1/8" "cor"
0.082 26 "sine period 1/8" "cor"
0.086 27 "sine period 1/8" "cor"
0.066 28 "sine period 1/8" "cor"
0.068 29 "sine period 1/8" "cor"
0.054 30 "sine period 1/8" "cor"
1 1 "x^(1/4)" "cor"
0.884 2 "x^(1/4)" "cor"
0.606 3 "x^(1/4)" "cor"
0.43 4 "x^(1/4)" "cor"
0.296 5 "x^(1/4)" "cor"
0.212 6 "x^(1/4)" "cor"
0.178 7 "x^(1/4)" "cor"
0.168 8 "x^(1/4)" "cor"
0.11 9 "x^(1/4)" "cor"
0.122 10 "x^(1/4)" "cor"
0.088 11 "x^(1/4)" "cor"
0.08 12 "x^(1/4)" "cor"
0.078 13 "x^(1/4)" "cor"
0.076 14 "x^(1/4)" "cor"
0.076 15 "x^(1/4)" "cor"
0.084 16 "x^(1/4)" "cor"
0.072 17 "x^(1/4)" "cor"
0.076 18 "x^(1/4)" "cor"
0.058 19 "x^(1/4)" "cor"
0.038 20 "x^(1/4)" "cor"
0.052 21 "x^(1/4)" "cor"
0.06 22 "x^(1/4)" "cor"
0.066 23 "x^(1/4)" "cor"
0.068 24 "x^(1/4)" "cor"
0.04 25 "x^(1/4)" "cor"
0.052 26 "x^(1/4)" "cor"
0.064 27 "x^(1/4)" "cor"
0.078 28 "x^(1/4)" "cor"
0.064 29 "x^(1/4)" "cor"
0.082 30 "x^(1/4)" "cor"
0.01 1 "circle" "cor"
0.006 2 "circle" "cor"
0.01 3 "circle" "cor"
0.008 4 "circle" "cor"
0.012 5 "circle" "cor"
0.012 6 "circle" "cor"
0.012 7 "circle" "cor"
0.02 8 "circle" "cor"
0.016 9 "circle" "cor"
0.026 10 "circle" "cor"
0.01 11 "circle" "cor"
0.01 12 "circle" "cor"
0.012 13 "circle" "cor"
0.024 14 "circle" "cor"
0.02 15 "circle" "cor"
0.014 16 "circle" "cor"
0.018 17 "circle" "cor"
0.028 18 "circle" "cor"
0.028 19 "circle" "cor"
0.016 20 "circle" "cor"
0.034 21 "circle" "cor"
0.022 22 "circle" "cor"
0.02 23 "circle" "cor"
0.026 24 "circle" "cor"
0.05 25 "circle" "cor"
0.03 26 "circle" "cor"
0.024 27 "circle" "cor"
0.042 28 "circle" "cor"
0.034 29 "circle" "cor"
0.02 30 "circle" "cor"
0.96 1 "step" "cor"
0.486 2 "step" "cor"
0.29 3 "step" "cor"
0.186 4 "step" "cor"
0.132 5 "step" "cor"
0.112 6 "step" "cor"
0.122 7 "step" "cor"
0.052 8 "step" "cor"
0.09 9 "step" "cor"
0.078 10 "step" "cor"
0.042 11 "step" "cor"
