"power" "noise" "d_type" "method"
0.644 10 "log" "MIC"
0.534 11 "log" "MIC"
0.478 12 "log" "MIC"
0.388 13 "log" "MIC"
0.336 14 "log" "MIC"
0.26 15 "log" "MIC"
0.246 16 "log" "MIC"
0.196 17 "log" "MIC"
0.152 18 "log" "MIC"
0.204 19 "log" "MIC"
0.166 20 "log" "MIC"
0.132 21 "log" "MIC"
0.166 22 "log" "MIC"
0.128 23 "log" "MIC"
0.128 24 "log" "MIC"
0.102 25 "log" "MIC"
0.122 26 "log" "MIC"
0.096 27 "log" "MIC"
0.066 28 "log" "MIC"
0.064 29 "log" "MIC"
0.094 30 "log" "MIC"
1 1 "exp" "rdc"
1 2 "exp" "rdc"
1 3 "exp" "rdc"
1 4 "exp" "rdc"
0.99 5 "exp" "rdc"
0.91 6 "exp" "rdc"
0.77 7 "exp" "rdc"
0.662 8 "exp" "rdc"
0.47 9 "exp" "rdc"
0.364 10 "exp" "rdc"
0.32 11 "exp" "rdc"
0.278 12 "exp" "rdc"
0.21 13 "exp" "rdc"
0.202 14 "exp" "rdc"
0.21 15 "exp" "rdc"
0.146 16 "exp" "rdc"
0.124 17 "exp" "rdc"
0.178 18 "exp" "rdc"
0.118 19 "exp" "rdc"
0.062 20 "exp" "rdc"
0.072 21 "exp" "rdc"
0.096 22 "exp" "rdc"
0.086 23 "exp" "rdc"
0.102 24 "exp" "rdc"
0.06 25 "exp" "rdc"
0.062 26 "exp" "rdc"
0.086 27 "exp" "rdc"
0.11 28 "exp" "rdc"
0.062 29 "exp" "rdc"
0.08 30 "exp" "rdc"
1 1 "log" "rdc"
1 2 "log" "rdc"
1 3 "log" "rdc"
1 4 "log" "rdc"
1 5 "log" "rdc"
1 6 "log" "rdc"
1 7 "log" "rdc"
1 8 "log" "rdc"
0.998 9 "log" "rdc"
0.984 10 "log" "rdc"
0.948 11 "log" "rdc"
0.874 12 "log" "rdc"
0.84 13 "log" "rdc"
0.732 14 "log" "rdc"
0.666 15 "log" "rdc"
0.632 16 "log" "rdc"
0.56 17 "log" "rdc"
0.482 18 "log" "rdc"
0.424 19 "log" "rdc"
0.442 20 "log" "rdc"
0.33 21 "log" "rdc"
0.296 22 "log" "rdc"
0.31 23 "log" "rdc"
0.298 24 "log" "rdc"
0.288 25 "log" "rdc"
0.238 26 "log" "rdc"
0.182 27 "log" "rdc"
0.166 28 "log" "rdc"
0.136 29 "log" "rdc"
0.208 30 "log" "rdc"
1 1 "exp" "xi_cor"
1 2 "exp" "xi_cor"
0.966 3 "exp" "xi_cor"
0.728 4 "exp" "xi_cor"
0.484 5 "exp" "xi_cor"
0.312 6 "exp" "xi_cor"
0.262 7 "exp" "xi_cor"
0.182 8 "exp" "xi_cor"
0.132 9 "exp" "xi_cor"
0.132 10 "exp" "xi_cor"
0.06 11 "exp" "xi_cor"
0.102 12 "exp" "xi_cor"
0.104 13 "exp" "xi_cor"
0.088 14 "exp" "xi_cor"
0.086 15 "exp" "xi_cor"
0.072 16 "exp" "xi_cor"
0.1 17 "exp" "xi_cor"
0.076 18 "exp" "xi_cor"
0.048 19 "exp" "xi_cor"
0.06 20 "exp" "xi_cor"
0.052 21 "exp" "xi_cor"
0.05 22 "exp" "xi_cor"
0.064 23 "exp" "xi_cor"
0.064 24 "exp" "xi_cor"
0.078 25 "exp" "xi_cor"
0.066 26 "exp" "xi_cor"
0.05 27 "exp" "xi_cor"
0.056 28 "exp" "xi_cor"
0.032 29 "exp" "xi_cor"
0.078 30 "exp" "xi_cor"
1 1 "log" "xi_cor"
1 2 "log" "xi_cor"
1 3 "log" "xi_cor"
1 4 "log" "xi_cor"
0.988 5 "log" "xi_cor"
0.944 6 "log" "xi_cor"
0.818 7 "log" "xi_cor"
0.64 8 "log" "xi_cor"
0.514 9 "log" "xi_cor"
0.432 10 "log" "xi_cor"
0.358 11 "log" "xi_cor"
0.38 12 "log" "xi_cor"
0.238 13 "log" "xi_cor"
0.204 14 "log" "xi_cor"
0.222 15 "log" "xi_cor"
0.162 16 "log" "xi_cor"
0.14 17 "log" "xi_cor"
0.1 18 "log" "xi_cor"
0.11 19 "log" "xi_cor"
0.11 20 "log" "xi_cor"
0.098 21 "log" "xi_cor"
0.088 22 "log" "xi_cor"
0.098 23 "log" "xi_cor"
0.104 24 "log" "xi_cor"
0.104 25 "log" "xi_cor"
0.086 26 "log" "xi_cor"
0.104 27 "log" "xi_cor"
0.078 28 "log" "xi_cor"
0.072 29 "log" "xi_cor"
0.076 30 "log" "xi_cor"
1 1 "exp" "Hoeff"
1 2 "exp" "Hoeff"
1 3 "exp" "Hoeff"
1 4 "exp" "Hoeff"
1 5 "exp" "Hoeff"
0.998 6 "exp" "Hoeff"
0.968 7 "exp" "Hoeff"
0.904 8 "exp" "Hoeff"
0.878 9 "exp" "Hoeff"
0.75 10 "exp" "Hoeff"
0.728 11 "exp" "Hoeff"
0.614 12 "exp" "Hoeff"
0.51 13 "exp" "Hoeff"
0.518 14 "exp" "Hoeff"
0.478 15 "exp" "Hoeff"
